queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
1,Sa4ee556ca7,The Beatles,Can't Buy Me Love,,3,3,1,,not_enriched,unreviewed
2,Sc0bc556bcf,The Beatles,Something,,3,3,1,,not_enriched,unreviewed
3,S03770f68d3,The Beatles,Lady Madonna,,2,2,1,,not_enriched,unreviewed
4,S0ced412afc,The Doobie Brothers,Long Train Runnin’,,2,2,1,,not_enriched,unreviewed
5,S12ff76a74a,The Beatles,Get Back,,2,2,1,,not_enriched,unreviewed
6,S162d6ccd34,The Beatles,Yesterday,,2,2,1,,not_enriched,unreviewed
7,S1f6bb74114,Eric Clapton,Layla,,2,2,1,,not_enriched,unreviewed
8,S24475ce876,The Beatles,Love Me Do,,2,2,1,,not_enriched,unreviewed
9,S27656eccfd,The Beatles,Here Comes the Sun,,2,2,1,,not_enriched,unreviewed
10,S2ac7fbe92b,The Beatles,Think for Yourself,,2,2,1,,not_enriched,unreviewed
11,S37289651d4,The Doobie Brothers,China Grove,,2,2,1,,not_enriched,unreviewed
12,S3bc31fcfc3,The Beatles,She Loves You,,2,2,1,,not_enriched,unreviewed
13,S53555858ad,The Beatles,It’s Only Love,,2,2,1,,not_enriched,unreviewed
14,S54f7a89544,Heart,Dreamboat Annie,,2,2,1,,not_enriched,unreviewed
15,S65c55a4e83,Paul McCartney & Wings,Band on the Run,,2,2,1,,not_enriched,unreviewed
16,S6ab7030a0c,The Beatles,I Want To Hold Your Hand,,2,2,1,,not_enriched,unreviewed
17,S6dcd4f029e,The Beatles,Eleanor Rigby,,2,2,1,,not_enriched,unreviewed
18,S7563a2b79b,The Beatles,The Ballad of John and Yoko,,2,2,1,,not_enriched,unreviewed
19,S794187db0f,The Beatles,A Hard Day's Night,,2,2,1,,not_enriched,unreviewed
20,S7973400982,Elton John,Island Girl,,2,2,1,,not_enriched,unreviewed
21,S7cd38a0c9c,Heart,Magic Man,,2,2,1,,not_enriched,unreviewed
22,S7dd63e4e8d,The Beatles,For You Blue,,2,2,1,,not_enriched,unreviewed
23,S7fdabdbabd,The Beatles,Come Together,,2,2,1,,not_enriched,unreviewed
24,S81453fab27,The Beatles,From Me To You,,2,2,1,,not_enriched,unreviewed
25,S82e0b4a11e,Kansas,The Wall,,2,2,1,,not_enriched,unreviewed
26,S8514874b99,The Beatles,The Long And Winding Road,,2,2,1,,not_enriched,unreviewed
27,S888689fd61,The Doobie Brothers,Black Water,,2,2,1,,not_enriched,unreviewed
