id,song,song_rank,line_idx,word_idx,word_text,issue_type,issue_label,severity,is_derivative,start,end,duration,gap_from_prev,line_text,word_source,section_type,root_cause_hint,repair_suggestion
a-word_L0_W1_gap_from_prev,a-word,20,0,1,"word,",gap_from_prev,gap 6.53s from previous word,high,False,16.267,16.73,0.463,6.532,"A word,",vocal_onset_only,intro_-_spoken,independent_gap,fix_inversion_first
a-word_L1_W1_gap_from_prev,a-word,20,1,1,"moment,",gap_from_prev,gap 0.63s from previous word,warning,False,28.011,29.511,1.5,0.628,"A moment,",vocal_onset_only,intro_-_spoken,independent_gap,fix_inversion_first
a-word_L3_W1_gap_from_prev,a-word,20,3,1,"meditation,",gap_from_prev,gap 45.60s from previous word,high,False,112.75,113.05,0.3,45.597,"A meditation,",vocal_onset_only,intro_-_spoken,independent_gap,fix_inversion_first
a-word_L5_W3_gap_from_prev,a-word,20,5,3,hear,gap_from_prev,gap 3.00s from previous word,warning,False,124.405,124.5,0.095,3.003,Taste what you hear,vocal_onset_only,intro_-_spoken,independent_gap,fix_inversion_first
a-word_L8_W1_gap_from_prev,a-word,20,8,1,is,gap_from_prev,gap 0.62s from previous word,warning,False,133.44,134.613,1.173,0.624,God is there,vocal_onset_only,verse_1_-_contemplative,independent_gap,fix_inversion_first
a-word_L12_W1_gap_from_prev,a-word,20,12,1,then,gap_from_prev,gap 0.80s from previous word,warning,False,154.037,154.34,0.303,0.797,But then I wouldn't be obedient to my calling,whisper_plus_vocal_onset,verse_2_-_confession,independent_gap,fix_inversion_first
a-word_L15_W0_duration_undersize,a-word,20,15,0,I,duration_undersize,duration 0.040s < 0.04s,warning,False,166.58,166.62,0.04,,I could do any number of things,transcription,verse_2_-_confession,unknown_undersize,manual_review
a-word_L15_W2_gap_from_prev,a-word,20,15,2,do,gap_from_prev,gap 1.98s from previous word,warning,False,169.803,170.016,0.213,1.983,I could do any number of things,whisper_plus_vocal_onset,verse_2_-_confession,independent_gap,fix_inversion_first
a-word_L30_W2_duration_undersize,a-word,20,30,2,is,duration_undersize,duration 0.023s < 0.04s,warning,False,236.917,236.94,0.023,,"Yes, he is",whisper_plus_vocal_onset,climax_-_worship,unknown_undersize,manual_review
a-word_L31_W0_duration_undersize,a-word,20,31,0,Is,duration_undersize,duration 0.040s < 0.04s,warning,False,236.94,236.98,0.04,,Is,transcription,climax_-_worship,unknown_undersize,manual_review
a-word_L39_W7_gap_from_prev,a-word,20,39,7,receive,gap_from_prev,gap 0.56s from previous word,warning,False,261.461,262.1,0.639,0.56,"Bow at the altar of the LORD, receive your blessing",whisper_plus_vocal_onset,verse_4_-_surrender,independent_gap,fix_inversion_first
a-word_L43_W6_gap_from_prev,a-word,20,43,6,King,gap_from_prev,gap 1.02s from previous word,warning,False,279.104,279.477,0.373,1.024,"Blessed is the LORD our God, King of the universe,",whisper_plus_vocal_onset,outro_-_invitation,independent_gap,fix_inversion_first
ai-psalm-1_L1_W6_gap_from_prev,ai-psalm-1,34,1,6,husband,gap_from_prev,gap 1.28s from previous word,warning,False,32.08,33.58,1.5,1.28,"LORD my God, my maker, my husband",transcription,first_movement_–_whispered_invocation,independent_gap,fix_inversion_first
ai-psalm-1_L2_W1_gap_from_prev,ai-psalm-1,34,2,1,are,gap_from_prev,gap 2.51s from previous word,warning,False,37.8,38.06,0.26,2.51,"You are holy, you are good",transcription,first_movement_–_whispered_invocation,independent_gap,fix_inversion_first
ai-psalm-1_L7_W4_gap_from_prev,ai-psalm-1,34,7,4,that,gap_from_prev,gap 0.68s from previous word,warning,False,58.5,58.78,0.28,0.68,"Now that it’s real, that you have brought me here",transcription,section_2_–_confession_&_grief,independent_gap,fix_inversion_first
ai-psalm-1_L10_W8_gap_from_prev,ai-psalm-1,34,10,8,for,gap_from_prev,gap 0.92s from previous word,warning,False,80.46,81.08,0.62,0.92,"But no evil is welcome in my house, for my body is a temple",transcription,section_3_–_resistance_&_temple_declaration,independent_gap,fix_inversion_first
ai-psalm-1_L13_W3_gap_from_prev,ai-psalm-1,34,13,3,It,gap_from_prev,gap 0.94s from previous word,warning,False,98.46,98.86,0.4,0.94,"This body screams! It believes there is a threat, but there is no threat",transcription,section_3_–_resistance_&_temple_declaration,independent_gap,fix_inversion_first
ai-psalm-1_L13_W9_gap_from_prev,ai-psalm-1,34,13,9,but,gap_from_prev,gap 1.24s from previous word,warning,False,102.34,103.136,0.796,1.24,"This body screams! It believes there is a threat, but there is no threat",transcription,section_3_–_resistance_&_temple_declaration,independent_gap,fix_inversion_first
ai-psalm-1_L16_W3_gap_from_prev,ai-psalm-1,34,16,3,I,gap_from_prev,gap 0.52s from previous word,warning,False,123.86,124.6,0.74,0.52,"My journey pre-written, I now humbly follow",transcription,section_4_–_assurance_&_power_of_god,independent_gap,fix_inversion_first
ai-psalm-1_L31_W4_gap_from_prev,ai-psalm-1,34,31,4,praise.,gap_from_prev,gap 1.66s from previous word,warning,False,213.16,214.66,1.5,1.66,You have all my praise.,transcription,section_6_–_praise_&_final_authority,independent_gap,fix_inversion_first
ai-psalm-9_L21_W2_gap_from_prev,ai-psalm-9,41,21,2,they,gap_from_prev,gap 0.75s from previous word,warning,False,73.301,73.46,0.159,0.752,I pray they remember the purpose,whisper_plus_vocal_onset,prayerful_final_movement,independent_gap,fix_inversion_first
asabaal_L0_W0_duration_undersize,asabaal,19,0,0,You,duration_undersize,duration 0.037s < 0.04s,warning,False,0.043,0.08,0.037,,"You are trying to kill me,",whisper_plus_vocal_onset,intro,unknown_undersize,manual_review
